methods,count,module,date_added
.axes,4,pandas,2020-09-03 22:46:09.138425+00:00
.clip,4,pandas,2020-09-03 22:46:09.138425+00:00
.to_period,3,pandas,2020-09-03 22:46:09.138425+00:00
.argmax,3,pandas,2020-09-03 22:46:09.138425+00:00
.ndim,3,pandas,2020-09-03 22:46:09.138425+00:00
.interpolate,3,pandas,2020-09-03 22:46:09.138425+00:00
.isoformat,3,pandas,2020-09-03 22:46:09.138425+00:00
.dt.components,3,pandas,2020-09-03 22:46:09.138425+00:00
.searchsorted,3,pandas,2020-09-03 22:46:09.138425+00:00
.period_range,3,pandas,2020-09-03 22:46:09.138425+00:00
.iat,3,pandas,2020-09-03 22:46:09.138425+00:00
.var,3,pandas,2020-09-03 22:46:09.138425+00:00
.dt.normalize,3,pandas,2020-09-03 22:46:09.138425+00:00
.pow,3,pandas,2020-09-03 22:46:09.138425+00:00
.corr,3,pandas,2020-09-03 22:46:09.138425+00:00
.str.cat,3,pandas,2020-09-03 22:46:09.138425+00:00
.sparse.from_spmatrix,3,pandas,2020-09-03 22:46:09.138425+00:00
.dt.total_seconds,3,pandas,2020-09-03 22:46:09.138425+00:00
.to_records,3,pandas,2020-09-03 22:46:09.138425+00:00
.bdate_range,2,pandas,2020-09-03 22:46:09.138425+00:00
.toordinal,2,pandas,2020-09-03 22:46:09.138425+00:00
.ctime,2,pandas,2020-09-03 22:46:09.138425+00:00
.to_html,2,pandas,2020-09-03 22:46:09.138425+00:00
.cat.add_categories,2,pandas,2020-09-03 22:46:09.138425+00:00
.tseries.offsets.CustomBusinessDay,2,pandas,2020-09-03 22:46:09.138425+00:00
.bool,2,pandas,2020-09-03 22:46:09.138425+00:00
.argmin,2,pandas,2020-09-03 22:46:09.138425+00:00
.cumprod,2,pandas,2020-09-03 22:46:09.138425+00:00
.str.istitle,2,pandas,2020-09-03 22:46:09.138425+00:00
.fromtimestamp,2,pandas,2020-09-03 22:46:09.138425+00:00
.quarter,2,pandas,2020-09-03 22:46:09.138425+00:00
.reset_option,2,pandas,2020-09-03 22:46:09.138425+00:00
