methods,count,module,date_added
.combine,9,pandas,2020-09-03 22:45:36.104841+00:00
.cumcount,9,pandas,2020-09-03 22:45:36.104841+00:00
.iat,8,pandas,2020-09-03 22:45:36.104841+00:00
.to_json,8,pandas,2020-09-03 22:45:36.104841+00:00
.boxplot,8,pandas,2020-09-03 22:45:36.104841+00:00
.eval,8,pandas,2020-09-03 22:45:36.104841+00:00
.view,8,pandas,2020-09-03 22:45:36.104841+00:00
.to_string,8,pandas,2020-09-03 22:45:36.104841+00:00
.ravel,8,pandas,2020-09-03 22:45:36.104841+00:00
.melt,8,pandas,2020-09-03 22:45:36.104841+00:00
.to_timedelta,8,pandas,2020-09-03 22:45:36.104841+00:00
.nunique,8,pandas,2020-09-03 22:45:36.104841+00:00
.is_,8,pandas,2020-09-03 22:45:36.104841+00:00
.read_parquet,8,pandas,2020-09-03 22:45:36.104841+00:00
.select_dtypes,8,pandas,2020-09-03 22:45:36.104841+00:00
.floor,7,pandas,2020-09-03 22:45:36.104841+00:00
.dt.week,7,pandas,2020-09-03 22:45:36.104841+00:00
.hour,7,pandas,2020-09-03 22:45:36.104841+00:00
.itertuples,7,pandas,2020-09-03 22:45:36.104841+00:00
.CategoricalDtype,6,pandas,2020-09-03 22:45:36.104841+00:00
.mul,6,pandas,2020-09-03 22:45:36.104841+00:00
.pipe,6,pandas,2020-09-03 22:45:36.104841+00:00
.nlargest,6,pandas,2020-09-03 22:45:36.104841+00:00
.read_pickle,6,pandas,2020-09-03 22:45:36.104841+00:00
.to_parquet,6,pandas,2020-09-03 22:45:36.104841+00:00
.dt.tz,6,pandas,2020-09-03 22:45:36.104841+00:00
.nlevels,6,pandas,2020-09-03 22:45:36.104841+00:00
.argmin,6,pandas,2020-09-03 22:45:36.104841+00:00
.groups,5,pandas,2020-09-03 22:45:36.104841+00:00
.from_records,5,pandas,2020-09-03 22:45:36.104841+00:00
.dt.hour,5,pandas,2020-09-03 22:45:36.104841+00:00
.cov,5,pandas,2020-09-03 22:45:36.104841+00:00
.ctime,5,pandas,2020-09-03 22:45:36.104841+00:00
.str.count,5,pandas,2020-09-03 22:45:36.104841+00:00
.str.rsplit,5,pandas,2020-09-03 22:45:36.104841+00:00
.argmax,5,pandas,2020-09-03 22:45:36.104841+00:00
.to_pickle,5,pandas,2020-09-03 22:45:36.104841+00:00
.rank,5,pandas,2020-09-03 22:45:36.104841+00:00
.week,5,pandas,2020-09-03 22:45:36.104841+00:00
.median,5,pandas,2020-09-03 22:45:36.104841+00:00
.var,5,pandas,2020-09-03 22:45:36.104841+00:00
.isocalendar,5,pandas,2020-09-03 22:45:36.104841+00:00
.isoformat,5,pandas,2020-09-03 22:45:36.104841+00:00
.iteritems,5,pandas,2020-09-03 22:45:36.104841+00:00
.dt.time,4,pandas,2020-09-03 22:45:36.104841+00:00
.str.find,4,pandas,2020-09-03 22:45:36.104841+00:00
.str.join,4,pandas,2020-09-03 22:45:36.104841+00:00
.ceil,4,pandas,2020-09-03 22:45:36.104841+00:00
.dt.total_seconds,4,pandas,2020-09-03 22:45:36.104841+00:00
.read_clipboard,4,pandas,2020-09-03 22:45:36.104841+00:00
.axes,4,pandas,2020-09-03 22:45:36.104841+00:00
.str.match,4,pandas,2020-09-03 22:45:36.104841+00:00
.str.slice,4,pandas,2020-09-03 22:45:36.104841+00:00
.categories,4,pandas,2020-09-03 22:45:36.104841+00:00
.dt.minute,3,pandas,2020-09-03 22:45:36.104841+00:00
.xs,3,pandas,2020-09-03 22:45:36.104841+00:00
.bfill,3,pandas,2020-09-03 22:45:36.104841+00:00
.end_time,3,pandas,2020-09-03 22:45:36.104841+00:00
.str.len,3,pandas,2020-09-03 22:45:36.104841+00:00
.ngroup,3,pandas,2020-09-03 22:45:36.104841+00:00
.set_axis,3,pandas,2020-09-03 22:45:36.104841+00:00
.interpolate,3,pandas,2020-09-03 22:45:36.104841+00:00
.fromtimestamp,3,pandas,2020-09-03 22:45:36.104841+00:00
.set_names,3,pandas,2020-09-03 22:45:36.104841+00:00
.freq,3,pandas,2020-09-03 22:45:36.104841+00:00
.total_seconds,3,pandas,2020-09-03 22:45:36.104841+00:00
.prod,2,pandas,2020-09-03 22:45:36.104841+00:00
.sem,2,pandas,2020-09-03 22:45:36.104841+00:00
.to_records,2,pandas,2020-09-03 22:45:36.104841+00:00
.to_gbq,2,pandas,2020-09-03 22:45:36.104841+00:00
.to_hdf,2,pandas,2020-09-03 22:45:36.104841+00:00
.pow,2,pandas,2020-09-03 22:45:36.104841+00:00
.squeeze,2,pandas,2020-09-03 22:45:36.104841+00:00
.start_time,2,pandas,2020-09-03 22:45:36.104841+00:00
.ordered,2,pandas,2020-09-03 22:45:36.104841+00:00
.Interval,2,pandas,2020-09-03 22:45:36.104841+00:00
.to_latex,2,pandas,2020-09-03 22:45:36.104841+00:00
.idxmin,2,pandas,2020-09-03 22:45:36.104841+00:00
.gt,2,pandas,2020-09-03 22:45:36.104841+00:00
.cat.codes,2,pandas,2020-09-03 22:45:36.104841+00:00
.contains,2,pandas,2020-09-03 22:45:36.104841+00:00
.searchsorted,2,pandas,2020-09-03 22:45:36.104841+00:00
.lookup,2,pandas,2020-09-03 22:45:36.104841+00:00
.read_table,2,pandas,2020-09-03 22:45:36.104841+00:00
.tseries.offsets.DateOffset,2,pandas,2020-09-03 22:45:36.104841+00:00
.to_stata,2,pandas,2020-09-03 22:45:36.104841+00:00
.read_fwf,2,pandas,2020-09-03 22:45:36.104841+00:00
.str.lower,2,pandas,2020-09-03 22:45:36.104841+00:00
.dt.second,2,pandas,2020-09-03 22:45:36.104841+00:00
.read_sql_table,2,pandas,2020-09-03 22:45:36.104841+00:00
.tseries.offsets.FY5253,2,pandas,2020-09-03 22:45:36.104841+00:00
.show_versions,2,pandas,2020-09-03 22:45:36.104841+00:00
.errors.ParserError,2,pandas,2020-09-03 22:45:36.104841+00:00
.api.types.is_scalar,2,pandas,2020-09-03 22:45:36.104841+00:00
.str.lstrip,2,pandas,2020-09-03 22:45:36.104841+00:00
.toordinal,1,pandas,2020-09-03 22:45:36.104841+00:00
.wide_to_long,1,pandas,2020-09-03 22:45:36.104841+00:00
.align,1,pandas,2020-09-03 22:45:36.104841+00:00
.as_ordered,1,pandas,2020-09-03 22:45:36.104841+00:00
.cat.add_categories,1,pandas,2020-09-03 22:45:36.104841+00:00
.to_timestamp,1,pandas,2020-09-03 22:45:36.104841+00:00
.Rang,1,pandas,2020-09-03 22:45:36.104841+00:00
.argsort,1,pandas,2020-09-03 22:45:36.104841+00:00
.UInt8Dtype,1,pandas,2020-09-03 22:45:36.104841+00:00
.backfill,1,pandas,2020-09-03 22:45:36.104841+00:00
.to_series,1,pandas,2020-09-03 22:45:36.104841+00:00
.to_xarray,1,pandas,2020-09-03 22:45:36.104841+00:00
.union,1,pandas,2020-09-03 22:45:36.104841+00:00
.tseries.offsets.MonthEnd,1,pandas,2020-09-03 22:45:36.104841+00:00
.str.isdigit,1,pandas,2020-09-03 22:45:36.104841+00:00
.clip,1,pandas,2020-09-03 22:45:36.104841+00:00
.to_period,1,pandas,2020-09-03 22:45:36.104841+00:00
.right,1,pandas,2020-09-03 22:45:36.104841+00:00
.read_stata,1,pandas,2020-09-03 22:45:36.104841+00:00
.read_gbq,1,pandas,2020-09-03 22:45:36.104841+00:00
.is_unique,1,pandas,2020-09-03 22:45:36.104841+00:00
.read_feather,1,pandas,2020-09-03 22:45:36.104841+00:00
.quarter,1,pandas,2020-09-03 22:45:36.104841+00:00
.qcut,1,pandas,2020-09-03 22:45:36.104841+00:00
.period_range,1,pandas,2020-09-03 22:45:36.104841+00:00
.pad,1,pandas,2020-09-03 22:45:36.104841+00:00
.overlaps,1,pandas,2020-09-03 22:45:36.104841+00:00
